Trial,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, oriole is ",present,absent,oriole,11,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, mockingbird is ",present,present,mockingbird,12,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, redbird is ",present,present,redbird,13,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, wren is ",present,present,wren,14,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, finch is ",present,absent,finch,15,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, starling is ",present,present,starling,16,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, cardinal is ",present,present,cardinal,17,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, eagle is ",present,present,eagle,18,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, hummingbird is ",present,absent,hummingbird,19,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, seagull is ",present,present,seagull,20,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, woodpecker is ",present,absent,woodpecker,21,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, pigeon is ",present,absent,pigeon,22,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, thrush is ",present,present,thrush,23,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, falcon is ",present,absent,falcon,24,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, crow is ",present,absent,crow,25,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, hawk is ",present,present,hawk,26,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, raven is ",present,present,raven,27,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, goldfinch is ",present,absent,goldfinch,28,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, parrot is ",present,present,parrot,29,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, sandpiper is ",present,absent,sandpiper,30,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, pheasant is ",present,absent,pheasant,31,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, catbird is ",present,present,catbird,32,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, crane is ",present,present,crane,33,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, albatross is ",present,absent,albatross,34,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, condor is ",present,absent,condor,35,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, toucan is ",present,absent,toucan,36,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, owl is ",present,present,owl,37,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, pelican is ",present,absent,pelican,38,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, goose is ",present,present,goose,39,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, vulture is ",present,present,vulture,40,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, stork is ",present,absent,stork,41,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, buzzard is ",present,absent,buzzard,42,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, swan is ",present,present,swan,43,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, flamingo is ",present,present,flamingo,44,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, duck is ",present,present,duck,45,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, peacock is ",present,present,peacock,46,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, egret is ",present,absent,egret,47,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, chicken is ",present,absent,chicken,48,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, turkey is ",present,absent,turkey,49,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, ostrich is ",present,present,ostrich,50,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, titmouse is ",present,present,titmouse,51,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, emu is ",present,absent,emu,52,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, penguin is ",present,absent,penguin,53,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, bat is ",present,present,bat,54,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, robin is ",absent,present,robin,1,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, sparrow is ",absent,absent,sparrow,2,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, bluejay is ",absent,present,bluejay,3,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, bluebird is ",absent,absent,bluebird,4,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, canary is ",absent,absent,canary,5,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, blackbird is ",absent,absent,blackbird,6,birds
