preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A rocking horse is a,toy.,rocking horse,none,toy,12,"[-10.221741676330566, -10.66816234588623, -8.898920059204102, -9.771169662475586, -10.047309875488281, -9.487871170043945, -10.838500022888184, -10.626355171203613, -10.344924926757812, -10.048765182495117, -9.090385437011719, -9.299722671508789, -10.145671844482422, -10.344561576843262, -9.228797912597656, -9.8514404296875, -9.740348815917969, -10.079280853271484, -10.734549522399902, -10.47175407409668, -9.233409881591797, -10.162862777709961, -9.236156463623047, -9.482728958129883, -9.987151145935059, -9.754271507263184, -9.743704795837402, -9.94379997253418, -10.285539627075195, -9.500513076782227, -9.863969802856445, -10.481891632080078, -10.608429908752441, -10.456000328063965, -10.15131950378418, -9.929603576660156, -10.230895042419434, -9.226478576660156, -9.812028884887695, -10.048224449157715, -9.320239067077637, -9.076414108276367, -9.906129837036133, -8.58848762512207, -9.768245697021484, -9.993400573730469, -10.52998161315918, -9.508382797241211, -9.766069412231445, -9.790986061096191]",7241732096,mistralai_Mistral-7B-v0.1
A doll house is a,toy.,doll house,none,toy,13,"[-10.516300201416016, -9.590150833129883, -10.513359069824219, -10.05813217163086, -9.864938735961914, -10.79543685913086, -9.93437385559082, -9.419772148132324, -9.993596076965332, -10.471687316894531, -11.02113151550293, -10.15805435180664, -10.820125579833984, -10.064411163330078, -10.305315017700195, -9.789836883544922, -10.82261848449707, -10.689420700073242, -9.650762557983398, -9.808115005493164, -10.632024765014648, -10.304363250732422, -10.655159950256348, -9.641538619995117, -10.118551254272461, -9.563499450683594, -10.440420150756836, -10.4840726852417, -10.28302001953125, -9.388654708862305, -10.45613956451416, -10.503839492797852, -8.051103591918945, -10.178106307983398, -10.035934448242188, -10.455266952514648, -10.259532928466797, -10.63148021697998, -10.769067764282227, -10.740102767944336, -10.4786376953125, -10.78170394897461, -10.762992858886719, -10.278083801269531, -10.329581260681152, -9.772909164428711, -10.299020767211914, -10.611391067504883, -10.713117599487305, -10.579324722290039]",7241732096,mistralai_Mistral-7B-v0.1
A ball is a,toy.,ball,none,toy,14,"[-10.027555465698242, -11.409520149230957, -10.088563919067383, -10.30170726776123, -9.756576538085938, -10.33694839477539, -12.675883293151855, -8.404088973999023, -9.67188835144043, -11.907510757446289, -9.769402503967285, -9.974820137023926, -9.020072937011719, -12.668018341064453, -8.943323135375977, -7.183310031890869, -11.399621963500977, -12.31667423248291, -10.98026180267334, -10.113168716430664, -10.206774711608887, -10.427027702331543, -11.588644981384277, -11.494556427001953, -11.153868675231934, -9.445050239562988, -9.452810287475586, -9.269105911254883, -7.3146820068359375, -11.94544506072998, -12.216363906860352, -7.091386795043945, -9.054838180541992, -8.644523620605469, -10.889303207397461, -10.8421049118042, -11.072043418884277, -8.487045288085938, -9.004328727722168, -10.609039306640625, -9.547111511230469, -8.123257637023926, -11.762267112731934, -9.17591667175293, -10.511150360107422, -8.557263374328613, -9.7093505859375, -11.471341133117676, -9.191095352172852, -10.641626358032227]",7241732096,mistralai_Mistral-7B-v0.1
Jacks are,toys.,jacks,none,toy,15,"[-7.341303825378418, -7.91041374206543, -8.309338569641113, -8.175394058227539, -8.69351577758789, -11.170309066772461, -7.990390777587891, -8.992639541625977, -11.262298583984375, -8.19983196258545, -9.28111457824707, -8.587417602539062, -8.599714279174805, -9.07985782623291, -10.854474067687988, -8.664578437805176, -9.179773330688477, -9.211143493652344, -9.029141426086426, -9.132881164550781, -7.192611217498779, -8.970113754272461, -9.821915626525879, -9.100776672363281, -9.644963264465332, -8.831765174865723, -9.90358829498291, -8.282103538513184, -9.10736083984375, -7.938599109649658, -9.26775074005127, -7.702051162719727, -7.747552871704102, -7.390483856201172, -8.31610107421875, -10.340051651000977, -9.826194763183594, -8.0262451171875, -9.958091735839844, -10.093433380126953, -7.822309970855713, -8.383323669433594, -9.020435333251953, -8.562585830688477, -7.208964824676514, -9.030387878417969, -9.490083694458008, -6.81633996963501, -8.420492172241211, -7.88557767868042]",7241732096,mistralai_Mistral-7B-v0.1
Paper dolls are,toys.,paper dolls,none,toy,16,"[-8.844437599182129, -7.9387054443359375, -9.225677490234375, -7.464719295501709, -8.948951721191406, -8.286161422729492, -11.569430351257324, -9.302509307861328, -10.080077171325684, -8.067468643188477, -9.653739929199219, -10.66094970703125, -8.82417106628418, -9.198443412780762, -9.750367164611816, -9.516548156738281, -9.347599029541016, -8.869661331176758, -5.718177318572998, -10.62850570678711, -8.612876892089844, -10.277490615844727, -8.64974308013916, -7.376749515533447, -9.272446632385254, -10.185733795166016, -6.067128658294678, -8.029539108276367, -10.371694564819336, -12.291011810302734, -7.843646049499512, -10.325628280639648, -10.486469268798828, -8.559385299682617, -9.213942527770996, -8.336706161499023, -8.177425384521484, -8.595046043395996, -8.556617736816406, -8.324932098388672, -8.647598266601562, -7.250320911407471, -9.182817459106445, -9.67473030090332, -8.911630630493164, -9.835512161254883, -8.31722640991211, -8.931499481201172, -10.030099868774414, -12.41073226928711]",7241732096,mistralai_Mistral-7B-v0.1
An erector set is a,toy.,erector set,none,toy,17,"[-11.825766563415527, -11.284713745117188, -12.47103214263916, -11.387575149536133, -11.63093376159668, -10.984048843383789, -12.595703125, -11.391806602478027, -11.691794395446777, -11.717337608337402, -11.347673416137695, -11.976999282836914, -11.921802520751953, -11.595413208007812, -12.652315139770508, -12.62801742553711, -10.979291915893555, -11.892319679260254, -11.782553672790527, -12.213558197021484, -11.393775939941406, -11.277852058410645, -11.950485229492188, -9.448535919189453, -11.334085464477539, -12.029481887817383, -11.932577133178711, -12.228842735290527, -11.463274002075195, -10.60750961303711, -11.602417945861816, -12.138025283813477, -11.91794204711914, -12.678726196289062, -11.576262474060059, -11.389225959777832, -12.577775955200195, -12.00594711303711, -12.343672752380371, -8.623162269592285, -11.085502624511719, -12.16822624206543, -12.227630615234375, -11.984731674194336, -11.039628982543945, -11.417340278625488, -12.429269790649414, -12.524999618530273, -11.970827102661133, -11.116338729858398]",7241732096,mistralai_Mistral-7B-v0.1
A hula hoop is a,toy.,hula hoop,none,toy,18,"[-10.644538879394531, -10.000394821166992, -8.810036659240723, -11.928364753723145, -11.452207565307617, -12.052961349487305, -10.879739761352539, -11.684013366699219, -9.484073638916016, -12.30502986907959, -10.560876846313477, -10.67810344696045, -11.520278930664062, -9.628437042236328, -11.338298797607422, -10.775222778320312, -12.547897338867188, -11.63316535949707, -10.208120346069336, -12.971351623535156, -10.784667015075684, -11.16177749633789, -10.615716934204102, -12.385583877563477, -10.265233993530273, -10.604324340820312, -10.556113243103027, -11.224126815795898, -11.423891067504883, -9.834640502929688, -9.454524993896484, -11.269508361816406, -9.44422721862793, -10.467156410217285, -11.2874755859375, -11.999972343444824, -9.905481338500977, -9.434510231018066, -10.613410949707031, -10.890113830566406, -10.647268295288086, -11.173162460327148, -10.762380599975586, -10.185959815979004, -11.113212585449219, -11.334209442138672, -10.847240447998047, -10.574729919433594, -14.339101791381836, -8.852127075195312]",7241732096,mistralai_Mistral-7B-v0.1
A jump rope is a,toy.,jump rope,none,toy,19,"[-10.006669998168945, -11.085851669311523, -10.554996490478516, -10.674827575683594, -10.219795227050781, -10.787786483764648, -10.040325164794922, -10.110235214233398, -10.283292770385742, -10.247357368469238, -10.450506210327148, -10.456782341003418, -10.641324996948242, -10.429709434509277, -10.186147689819336, -10.049556732177734, -10.433841705322266, -10.567939758300781, -10.829469680786133, -10.148324966430664, -9.68490982055664, -10.8837308883667, -10.127090454101562, -10.256994247436523, -9.686539649963379, -10.700401306152344, -10.619148254394531, -9.780752182006836, -10.158838272094727, -10.66447639465332, -10.007108688354492, -9.027318000793457, -10.08281135559082, -9.6598539352417, -10.526250839233398, -9.776029586791992, -10.935539245605469, -10.319368362426758, -10.091569900512695, -10.405012130737305, -10.152885437011719, -10.225433349609375, -10.236581802368164, -10.048524856567383, -9.743011474609375, -10.506462097167969, -10.287701606750488, -10.510915756225586, -10.05129623413086, -10.032073974609375]",7241732096,mistralai_Mistral-7B-v0.1
A pogo stick is a,toy.,pogo stick,none,toy,20,"[-11.570760726928711, -11.975772857666016, -12.090697288513184, -9.824621200561523, -11.128106117248535, -11.808239936828613, -11.639568328857422, -11.691509246826172, -7.771564483642578, -11.463424682617188, -11.649829864501953, -10.244783401489258, -11.503637313842773, -12.430451393127441, -11.869436264038086, -11.780317306518555, -11.864729881286621, -12.408275604248047, -7.643072605133057, -11.994649887084961, -11.695602416992188, -10.233081817626953, -12.061558723449707, -11.21724796295166, -11.104578018188477, -12.457595825195312, -11.315902709960938, -10.863668441772461, -11.39863395690918, -11.159070014953613, -11.583173751831055, -11.72314167022705, -10.869949340820312, -10.848896026611328, -11.731876373291016, -11.024236679077148, -12.485452651977539, -11.753313064575195, -12.019975662231445, -8.969635009765625, -10.82215690612793, -9.441463470458984, -12.227767944335938, -12.205582618713379, -10.693066596984863, -12.874092102050781, -11.901138305664062, -11.885507583618164, -11.899619102478027, -11.291341781616211]",7241732096,mistralai_Mistral-7B-v0.1
A clay is a,toy.,clay,none,toy,21,"[-7.442358493804932, -11.36024284362793, -10.857280731201172, -11.125085830688477, -9.041391372680664, -9.42824649810791, -9.264715194702148, -10.587591171264648, -11.758243560791016, -7.5896196365356445, -10.96066665649414, -9.532476425170898, -8.66242790222168, -6.07833194732666, -9.525217056274414, -9.601863861083984, -8.723241806030273, -10.654802322387695, -8.919303894042969, -12.072162628173828, -8.46446418762207, -10.466468811035156, -8.943516731262207, -11.02066707611084, -8.29098129272461, -6.827701091766357, -8.513501167297363, -10.5054931640625, -8.460765838623047, -10.870872497558594, -10.184478759765625, -6.8864216804504395, -8.732534408569336, -10.683887481689453, -8.866769790649414, -10.942171096801758, -8.611369132995605, -9.470200538635254, -11.05876350402832, -8.369010925292969, -11.571319580078125, -11.064048767089844, -9.285754203796387, -9.289590835571289, -9.297487258911133, -9.104107856750488, -11.41274642944336, -9.238094329833984, -11.267560958862305, -8.720934867858887]",7241732096,mistralai_Mistral-7B-v0.1
A wagon is a,toy.,wagon,none,toy,22,"[-10.374753952026367, -8.841800689697266, -9.726736068725586, -9.792034149169922, -9.746606826782227, -10.302783966064453, -7.070403099060059, -11.73453426361084, -8.88109016418457, -9.733148574829102, -7.850658893585205, -10.342954635620117, -8.750192642211914, -10.802667617797852, -12.216791152954102, -10.209491729736328, -9.0147066116333, -9.98013687133789, -11.511495590209961, -9.983773231506348, -9.38552188873291, -7.614550590515137, -10.06292724609375, -9.295238494873047, -11.470489501953125, -7.654023170471191, -9.185770988464355, -7.189433574676514, -9.088160514831543, -11.297654151916504, -8.811409950256348, -9.356002807617188, -7.363287925720215, -9.961793899536133, -10.586331367492676, -9.935523986816406, -9.963884353637695, -9.743675231933594, -9.317895889282227, -9.35381031036377, -10.383321762084961, -9.95700454711914, -10.336216926574707, -12.319141387939453, -9.025310516357422, -9.29066276550293, -11.00558853149414, -11.562222480773926, -9.242217063903809, -8.100319862365723]",7241732096,mistralai_Mistral-7B-v0.1
A kite is a,toy.,kite,none,toy,23,"[-10.896429061889648, -10.677617073059082, -9.565791130065918, -10.795246124267578, -10.112619400024414, -10.62962818145752, -10.407880783081055, -10.295524597167969, -9.408035278320312, -10.66500473022461, -10.365484237670898, -11.138391494750977, -10.553579330444336, -10.248176574707031, -10.371944427490234, -9.718305587768555, -10.38740348815918, -9.621071815490723, -10.852331161499023, -10.542896270751953, -10.004215240478516, -10.590864181518555, -10.28808307647705, -10.580524444580078, -9.826350212097168, -10.571964263916016, -10.962162017822266, -10.722833633422852, -10.473011016845703, -9.742439270019531, -10.219112396240234, -10.156755447387695, -10.251802444458008, -10.661240577697754, -10.014120101928711, -10.156965255737305, -10.000482559204102, -10.169184684753418, -8.865015983581543, -9.646623611450195, -10.639013290405273, -10.832305908203125, -10.737257957458496, -9.933530807495117, -9.952909469604492, -10.30074405670166, -10.476282119750977, -10.29593276977539, -10.142959594726562, -10.43657398223877]",7241732096,mistralai_Mistral-7B-v0.1
A train is a,toy.,train,none,toy,24,"[-12.168539047241211, -10.26662540435791, -8.662817001342773, -11.231082916259766, -9.995848655700684, -10.1296968460083, -9.607254981994629, -9.390063285827637, -8.231420516967773, -10.80076789855957, -8.263731002807617, -7.395340442657471, -10.86770248413086, -9.72446060180664, -8.980384826660156, -9.888779640197754, -10.520288467407227, -10.489776611328125, -7.151007652282715, -9.729628562927246, -6.401616096496582, -9.547561645507812, -12.20043659210205, -8.899858474731445, -11.217005729675293, -11.015527725219727, -10.929630279541016, -9.968391418457031, -9.655271530151367, -10.34817123413086, -9.696418762207031, -10.002104759216309, -7.991901874542236, -10.237454414367676, -10.307100296020508, -12.617426872253418, -8.724031448364258, -11.434174537658691, -12.056572914123535, -9.074417114257812, -10.405008316040039, -9.89374828338623, -9.632394790649414, -10.157868385314941, -10.84819507598877, -9.311395645141602, -11.788480758666992, -11.137194633483887, -10.91461181640625, -8.022244453430176]",7241732096,mistralai_Mistral-7B-v0.1
A tricycle is a,toy.,tricycle,none,toy,25,"[-9.936899185180664, -13.273687362670898, -15.977716445922852, -14.999055862426758, -14.395339012145996, -14.790573120117188, -8.188125610351562, -15.264785766601562, -14.975421905517578, -15.174622535705566, -13.552209854125977, -15.46416187286377, -15.206563949584961, -15.49701976776123, -13.976680755615234, -13.696985244750977, -14.449378967285156, -15.074376106262207, -14.102052688598633, -14.735917091369629, -14.864945411682129, -15.154876708984375, -15.153148651123047, -14.522483825683594, -14.92983627319336, -15.657649040222168, -14.60162353515625, -14.371379852294922, -14.98960018157959, -9.70903491973877, -15.328910827636719, -15.55913257598877, -13.163812637329102, -16.45863151550293, -14.721811294555664, -14.854140281677246, -13.347923278808594, -14.698090553283691, -13.536169052124023, -13.460493087768555, -13.879541397094727, -13.87945556640625, -13.017024993896484, -9.195959091186523, -13.902443885803223, -14.722021102905273, -14.590279579162598, -14.227643013000488, -14.942059516906738, -13.367691040039062]",7241732096,mistralai_Mistral-7B-v0.1
A coloring book is a,toy.,coloring book,none,toy,26,"[-10.564327239990234, -9.546958923339844, -10.409509658813477, -9.363816261291504, -9.751714706420898, -9.578288078308105, -10.309334754943848, -10.928882598876953, -6.615390777587891, -9.802599906921387, -9.9310302734375, -10.626882553100586, -10.066427230834961, -10.324836730957031, -7.339512348175049, -10.346724510192871, -9.615524291992188, -10.004161834716797, -9.640691757202148, -10.698457717895508, -10.18557071685791, -10.385517120361328, -8.922502517700195, -9.90314769744873, -10.392753601074219, -9.875978469848633, -10.96642017364502, -10.774044036865234, -10.016855239868164, -9.654146194458008, -9.525857925415039, -10.074907302856445, -10.249336242675781, -9.671329498291016, -10.965412139892578, -10.314957618713379, -10.211580276489258, -10.612756729125977, -10.478277206420898, -9.747468948364258, -9.20462417602539, -10.207270622253418, -8.249646186828613, -10.464590072631836, -8.961847305297852, -9.604921340942383, -9.654230117797852, -10.185476303100586, -9.9796142578125, -9.945261001586914]",7241732096,mistralai_Mistral-7B-v0.1
Crayons are,toys.,crayons,none,toy,27,"[-10.387494087219238, -9.629825592041016, -7.9055328369140625, -9.909704208374023, -8.67017936706543, -11.4542236328125, -9.875621795654297, -9.044437408447266, -9.180377006530762, -10.058271408081055, -8.448593139648438, -8.789718627929688, -9.423212051391602, -8.487363815307617, -10.400643348693848, -11.785263061523438, -10.202188491821289, -9.24439811706543, -9.65330696105957, -9.20280647277832, -8.634130477905273, -10.498923301696777, -9.415401458740234, -9.69837760925293, -9.554899215698242, -7.96975040435791, -11.094158172607422, -10.873178482055664, -6.747255325317383, -8.761359214782715, -10.602206230163574, -9.019006729125977, -8.741921424865723, -8.735603332519531, -8.694482803344727, -8.25771427154541, -9.93815803527832, -9.091935157775879, -8.685514450073242, -9.382001876831055, -13.092599868774414, -8.892678260803223, -10.647222518920898, -8.22146987915039, -9.922306060791016, -10.447999000549316, -10.428257942199707, -7.998848915100098, -9.021801948547363, -9.57577133178711]",7241732096,mistralai_Mistral-7B-v0.1
