preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A teddy bear is a,toy.,teddy bear,none,toy,11,"[-11.042098999023438, -10.18604850769043, -9.687541007995605, -10.97996997833252, -10.709080696105957, -10.210027694702148, -10.743498802185059, -10.341497421264648, -11.40272331237793, -10.589349746704102, -10.196486473083496, -11.099793434143066, -11.136260032653809, -10.464461326599121, -11.367335319519043, -10.8836030960083, -11.281311988830566, -10.312979698181152, -9.800981521606445, -11.535386085510254, -12.022576332092285, -10.61827278137207, -10.2103910446167, -10.239065170288086, -11.336488723754883, -11.159504890441895, -9.925579071044922, -12.1615571975708, -10.659383773803711, -10.602537155151367, -10.5568265914917, -12.291714668273926, -10.214204788208008, -10.896617889404297, -10.532327651977539, -10.867018699645996, -10.362197875976562, -10.582164764404297, -9.147456169128418, -10.786113739013672, -11.361430168151855, -10.281229972839355, -9.400506973266602, -10.411084175109863, -11.515788078308105, -10.38375186920166, -10.994782447814941, -10.253211975097656, -10.337879180908203, -11.980691909790039]",7241732096,mistralai_Mistral-7B-v0.1
A rocking horse is a,toy.,rocking horse,none,toy,12,"[-9.845625877380371, -12.552494049072266, -9.147330284118652, -10.777275085449219, -11.572602272033691, -11.495946884155273, -10.035609245300293, -10.10512924194336, -11.537012100219727, -11.730202674865723, -10.764412879943848, -11.174041748046875, -11.918033599853516, -10.957630157470703, -10.468968391418457, -10.766584396362305, -11.807086944580078, -10.101858139038086, -11.316511154174805, -10.832993507385254, -11.088675498962402, -11.49925422668457, -11.382345199584961, -11.222890853881836, -11.30263900756836, -11.310933113098145, -10.57739543914795, -10.880906105041504, -11.525307655334473, -10.459844589233398, -11.650606155395508, -12.393304824829102, -12.134464263916016, -10.247139930725098, -11.13592529296875, -11.083799362182617, -12.193809509277344, -10.73127555847168, -10.778595924377441, -11.133562088012695, -11.036069869995117, -9.787094116210938, -11.16079330444336, -10.936288833618164, -10.993165969848633, -11.135139465332031, -10.753604888916016, -12.090885162353516, -10.800599098205566, -10.943462371826172]",7241732096,mistralai_Mistral-7B-v0.1
A doll house is a,toy.,doll house,none,toy,13,"[-15.748896598815918, -16.67000961303711, -15.524520874023438, -14.75789737701416, -15.358551979064941, -15.15915298461914, -15.731440544128418, -14.56699275970459, -14.243757247924805, -15.642148971557617, -13.861594200134277, -13.834439277648926, -15.171680450439453, -14.36003589630127, -14.213298797607422, -14.725555419921875, -14.2650728225708, -9.962028503417969, -15.907953262329102, -15.218000411987305, -15.099804878234863, -15.247113227844238, -14.229771614074707, -15.187238693237305, -14.766363143920898, -14.775548934936523, -15.158859252929688, -15.184927940368652, -15.755435943603516, -13.11514663696289, -15.159758567810059, -14.30312442779541, -14.8986234664917, -15.206997871398926, -14.915523529052734, -14.187765121459961, -15.415358543395996, -14.93678092956543, -15.047441482543945, -15.013986587524414, -14.944226264953613, -14.635663032531738, -15.233311653137207, -13.58161735534668, -14.888723373413086, -14.7127046585083, -15.760909080505371, -15.576508522033691, -14.433932304382324, -14.250844955444336]",7241732096,mistralai_Mistral-7B-v0.1
A ball is a,toy.,ball,none,toy,14,"[-11.88033676147461, -10.743231773376465, -13.873468399047852, -13.105396270751953, -11.233270645141602, -10.899075508117676, -12.822657585144043, -9.576921463012695, -13.121359825134277, -12.90681266784668, -12.628171920776367, -13.093710899353027, -11.049945831298828, -11.734649658203125, -12.421632766723633, -12.069738388061523, -13.091583251953125, -10.932415008544922, -12.6295166015625, -10.143516540527344, -9.7286376953125, -13.447534561157227, -11.973898887634277, -12.812957763671875, -12.700933456420898, -10.797011375427246, -12.327953338623047, -12.801549911499023, -12.016531944274902, -8.865665435791016, -12.963850021362305, -12.291833877563477, -11.952415466308594, -10.544413566589355, -10.227733612060547, -11.004378318786621, -11.439859390258789, -12.014583587646484, -10.98669719696045, -11.049510955810547, -9.443754196166992, -12.96446704864502, -11.46505355834961, -10.930871963500977, -11.150632858276367, -10.519224166870117, -12.023706436157227, -12.811521530151367, -10.310258865356445, -13.2720947265625]",7241732096,mistralai_Mistral-7B-v0.1
Jacks are,toys.,jacks,none,toy,15,"[-11.311946868896484, -10.666263580322266, -11.635952949523926, -11.182455062866211, -11.942794799804688, -9.923208236694336, -13.402791023254395, -8.347492218017578, -11.311132431030273, -11.535818099975586, -11.669097900390625, -11.155142784118652, -11.063429832458496, -12.189183235168457, -10.99022388458252, -10.460746765136719, -9.909088134765625, -11.25300407409668, -10.703567504882812, -12.64191722869873, -11.875066757202148, -9.89830207824707, -12.775861740112305, -12.765260696411133, -11.904304504394531, -11.734667778015137, -10.995580673217773, -10.155841827392578, -12.28044319152832, -10.839800834655762, -10.679248809814453, -10.128011703491211, -11.233981132507324, -9.639318466186523, -11.530258178710938, -10.76288890838623, -11.310076713562012, -10.526958465576172, -10.47198486328125, -10.256369590759277, -12.741005897521973, -11.898272514343262, -10.766918182373047, -10.472092628479004, -11.431951522827148, -10.619409561157227, -10.356805801391602, -10.324813842773438, -10.223590850830078, -9.899030685424805]",7241732096,mistralai_Mistral-7B-v0.1
Paper dolls are,toys.,paper dolls,none,toy,16,"[-10.100435256958008, -10.61328411102295, -12.563962936401367, -12.236863136291504, -11.011825561523438, -10.738462448120117, -11.502433776855469, -12.394325256347656, -11.556339263916016, -10.532570838928223, -12.05135726928711, -10.217000007629395, -9.590851783752441, -12.975979804992676, -11.538289070129395, -11.400218963623047, -9.969874382019043, -11.926145553588867, -9.678768157958984, -11.712303161621094, -11.561601638793945, -9.739705085754395, -11.923713684082031, -11.907495498657227, -11.580223083496094, -10.078840255737305, -10.642309188842773, -10.875139236450195, -9.941019058227539, -10.750213623046875, -12.38734245300293, -8.398004531860352, -10.677940368652344, -10.665494918823242, -11.70205307006836, -10.725421905517578, -10.956709861755371, -12.96055793762207, -11.027785301208496, -9.955155372619629, -10.268787384033203, -10.703269958496094, -9.754249572753906, -10.631246566772461, -12.699563026428223, -10.675491333007812, -10.547115325927734, -11.464399337768555, -9.689163208007812, -11.89352798461914]",7241732096,mistralai_Mistral-7B-v0.1
An erector set is a,toy.,erector set,none,toy,17,"[-17.083492279052734, -18.208904266357422, -18.940933227539062, -18.22643280029297, -19.35024070739746, -17.318214416503906, -17.69620132446289, -18.157379150390625, -18.3765869140625, -16.3380126953125, -18.739124298095703, -15.78477954864502, -18.85797882080078, -17.491044998168945, -19.700016021728516, -19.010231018066406, -16.219905853271484, -18.7874755859375, -18.5715274810791, -15.324877738952637, -16.92974090576172, -18.201704025268555, -17.33887481689453, -17.178604125976562, -18.611465454101562, -17.087753295898438, -17.603103637695312, -17.956695556640625, -9.050902366638184, -16.067686080932617, -14.281866073608398, -16.587928771972656, -10.355752944946289, -19.31134796142578, -16.970645904541016, -17.02263641357422, -17.22996711730957, -17.05728530883789, -17.618013381958008, -17.756391525268555, -18.889060974121094, -9.503682136535645, -16.137380599975586, -18.966049194335938, -18.591955184936523, -17.916946411132812, -18.363420486450195, -20.23204231262207, -17.496366500854492, -18.948284149169922]",7241732096,mistralai_Mistral-7B-v0.1
A hula hoop is a,toy.,hula hoop,none,toy,18,"[-10.45789909362793, -18.084247589111328, -18.491750717163086, -17.431440353393555, -15.690906524658203, -10.192859649658203, -10.578507423400879, -16.670978546142578, -17.55429458618164, -16.5396785736084, -17.32054901123047, -18.821149826049805, -20.233261108398438, -18.461894989013672, -18.273683547973633, -18.09391975402832, -16.903823852539062, -16.919424057006836, -19.8818302154541, -18.93000602722168, -16.486230850219727, -18.314916610717773, -15.856697082519531, -10.54190444946289, -19.32171630859375, -14.356801986694336, -16.458099365234375, -17.086912155151367, -19.620037078857422, -13.71237850189209, -11.021733283996582, -19.042566299438477, -10.587352752685547, -9.76451301574707, -17.06174659729004, -17.1424617767334, -18.077512741088867, -15.841487884521484, -15.023632049560547, -17.96913719177246, -17.972122192382812, -17.895000457763672, -17.31596565246582, -14.581375122070312, -16.532878875732422, -17.5102481842041, -17.246307373046875, -18.952980041503906, -16.18425750732422, -16.55471420288086]",7241732096,mistralai_Mistral-7B-v0.1
A jump rope is a,toy.,jump rope,none,toy,19,"[-14.814250946044922, -15.520451545715332, -15.517578125, -15.421627044677734, -14.906805992126465, -14.495691299438477, -15.424358367919922, -14.380126953125, -14.23649787902832, -15.683390617370605, -14.539182662963867, -14.511713981628418, -14.877134323120117, -15.333307266235352, -12.09298038482666, -15.089509010314941, -14.318636894226074, -15.210596084594727, -14.885848045349121, -14.377193450927734, -15.046764373779297, -15.00143051147461, -14.83221435546875, -14.590250968933105, -15.442427635192871, -16.19991683959961, -12.166728973388672, -15.47425365447998, -14.283392906188965, -15.068679809570312, -15.003994941711426, -14.857677459716797, -11.257524490356445, -14.24679946899414, -14.32992172241211, -12.766374588012695, -11.315074920654297, -15.360671997070312, -15.686906814575195, -15.250886917114258, -15.21329116821289, -14.393800735473633, -13.855441093444824, -14.847267150878906, -10.775392532348633, -10.441200256347656, -15.0100679397583, -15.244568824768066, -15.6544189453125, -15.238134384155273]",7241732096,mistralai_Mistral-7B-v0.1
A pogo stick is a,toy.,pogo stick,none,toy,20,"[-16.25206184387207, -10.711129188537598, -15.86445426940918, -14.849550247192383, -14.72522258758545, -16.29666519165039, -14.442523002624512, -15.891092300415039, -15.79539966583252, -10.767801284790039, -15.332927703857422, -15.826272010803223, -15.638381004333496, -9.838591575622559, -16.654277801513672, -11.146921157836914, -16.43097686767578, -15.607355117797852, -15.725418090820312, -14.8092622756958, -16.190959930419922, -16.005752563476562, -16.421550750732422, -15.545223236083984, -16.184833526611328, -15.053616523742676, -15.21163558959961, -16.08255386352539, -16.405019760131836, -9.981380462646484, -15.729883193969727, -15.145792007446289, -15.111381530761719, -15.854886054992676, -16.17601776123047, -14.544109344482422, -16.007129669189453, -10.611038208007812, -15.302373886108398, -16.487674713134766, -15.540831565856934, -16.696456909179688, -14.774142265319824, -15.851598739624023, -14.717277526855469, -15.784516334533691, -15.085798263549805, -15.388578414916992, -15.266388893127441, -16.12223243713379]",7241732096,mistralai_Mistral-7B-v0.1
A clay is a,toy.,clay,none,toy,21,"[-12.572395324707031, -12.221694946289062, -10.331899642944336, -12.614261627197266, -13.149022102355957, -11.367521286010742, -12.543953895568848, -11.328751564025879, -11.499510765075684, -12.323585510253906, -13.089941024780273, -12.86789608001709, -10.96588134765625, -13.788778305053711, -11.81363582611084, -12.303990364074707, -10.953391075134277, -11.443907737731934, -13.390966415405273, -10.419609069824219, -11.183570861816406, -13.350984573364258, -11.264119148254395, -10.711061477661133, -11.25773811340332, -10.49703311920166, -10.326292991638184, -10.357935905456543, -12.109796524047852, -11.607856750488281, -12.931026458740234, -13.998844146728516, -10.284245491027832, -11.46665096282959, -12.496736526489258, -11.702333450317383, -10.63876724243164, -11.758123397827148, -14.640694618225098, -10.236523628234863, -12.668754577636719, -12.24617862701416, -13.099370002746582, -11.065610885620117, -9.262616157531738, -12.551520347595215, -11.717519760131836, -11.31775188446045, -12.017046928405762, -10.681438446044922]",7241732096,mistralai_Mistral-7B-v0.1
A wagon is a,toy.,wagon,none,toy,22,"[-11.074344635009766, -11.020303726196289, -9.755069732666016, -11.702230453491211, -12.163524627685547, -9.877861022949219, -10.305612564086914, -12.465241432189941, -10.661294937133789, -12.182555198669434, -11.040210723876953, -13.267606735229492, -10.879508972167969, -11.35796070098877, -10.407691955566406, -12.634747505187988, -9.798686981201172, -11.110032081604004, -11.441797256469727, -10.941896438598633, -11.257895469665527, -12.329263687133789, -11.998312950134277, -13.235344886779785, -10.544182777404785, -12.03174877166748, -10.003286361694336, -12.023157119750977, -11.672527313232422, -11.987264633178711, -10.842840194702148, -10.536574363708496, -12.293036460876465, -12.7130765914917, -13.215727806091309, -12.290081977844238, -9.04574966430664, -12.653538703918457, -12.907392501831055, -12.79589557647705, -11.550300598144531, -10.298945426940918, -11.332809448242188, -10.725561141967773, -11.619485855102539, -12.659215927124023, -11.17961311340332, -11.91563892364502, -10.77804183959961, -11.231363296508789]",7241732096,mistralai_Mistral-7B-v0.1
A kite is a,toy.,kite,none,toy,23,"[-15.307376861572266, -15.062238693237305, -14.845428466796875, -10.696269035339355, -14.694366455078125, -12.296424865722656, -15.92949104309082, -13.936067581176758, -15.312141418457031, -14.35932445526123, -15.413409233093262, -14.540200233459473, -15.247807502746582, -13.736026763916016, -13.223310470581055, -14.491774559020996, -14.808843612670898, -14.06690502166748, -13.205269813537598, -15.24229621887207, -15.316756248474121, -13.966933250427246, -14.523218154907227, -14.730990409851074, -15.232155799865723, -14.3225679397583, -15.295475006103516, -14.906813621520996, -15.542481422424316, -15.633440971374512, -15.521814346313477, -15.422496795654297, -14.60302448272705, -15.8128080368042, -14.29506778717041, -15.074443817138672, -14.828033447265625, -14.496236801147461, -14.59406852722168, -14.160706520080566, -14.418285369873047, -14.925636291503906, -15.466979026794434, -14.171893119812012, -12.98399543762207, -15.345292091369629, -10.5874605178833, -14.373952865600586, -14.926807403564453, -14.611151695251465]",7241732096,mistralai_Mistral-7B-v0.1
A train is a,toy.,train,none,toy,24,"[-11.406158447265625, -12.735255241394043, -8.986790657043457, -10.214409828186035, -12.042900085449219, -12.81883430480957, -10.017946243286133, -11.582261085510254, -11.528958320617676, -10.813390731811523, -9.720170021057129, -10.281464576721191, -12.743733406066895, -11.92924690246582, -11.18014907836914, -11.967900276184082, -11.902229309082031, -12.3426513671875, -10.976353645324707, -10.824979782104492, -11.132488250732422, -12.975696563720703, -10.634102821350098, -10.649614334106445, -11.967967987060547, -12.820415496826172, -10.874900817871094, -13.51061725616455, -11.724720001220703, -13.223770141601562, -9.938375473022461, -14.118061065673828, -12.998896598815918, -13.941218376159668, -12.927741050720215, -12.975964546203613, -14.00931167602539, -13.507740020751953, -10.245595932006836, -12.80584716796875, -12.165958404541016, -10.562348365783691, -13.039432525634766, -11.80204963684082, -10.852134704589844, -13.313826560974121, -11.897947311401367, -11.812552452087402, -11.64633560180664, -12.853616714477539]",7241732096,mistralai_Mistral-7B-v0.1
A tricycle is a,toy.,tricycle,none,toy,25,"[-17.159879684448242, -16.84050750732422, -15.16932201385498, -17.155521392822266, -16.467029571533203, -16.395259857177734, -10.526816368103027, -16.90196990966797, -17.12887954711914, -17.5009708404541, -15.89695930480957, -10.199262619018555, -16.79743194580078, -15.875965118408203, -17.493938446044922, -9.587456703186035, -16.935705184936523, -17.30647850036621, -16.54032325744629, -16.68943977355957, -16.73488426208496, -16.555652618408203, -17.329450607299805, -16.938846588134766, -16.206920623779297, -16.325101852416992, -10.181512832641602, -16.423608779907227, -13.79543399810791, -16.26081085205078, -16.380752563476562, -17.43580436706543, -16.54358673095703, -16.24017333984375, -12.378371238708496, -16.74175262451172, -17.528602600097656, -14.338960647583008, -16.597942352294922, -15.471600532531738, -15.785676956176758, -16.00403594970703, -15.14573860168457, -16.637107849121094, -16.17400360107422, -15.898580551147461, -17.1629695892334, -17.367982864379883, -15.767762184143066, -17.21871566772461]",7241732096,mistralai_Mistral-7B-v0.1
A coloring book is a,toy.,coloring book,none,toy,26,"[-10.558820724487305, -10.166572570800781, -10.92220687866211, -11.428110122680664, -11.030474662780762, -9.634171485900879, -9.90908432006836, -10.377588272094727, -9.505993843078613, -10.352568626403809, -10.20661449432373, -10.558462142944336, -9.803361892700195, -10.576286315917969, -10.676179885864258, -10.179756164550781, -11.43445110321045, -10.869175910949707, -10.515213966369629, -9.985755920410156, -10.607646942138672, -11.29734992980957, -9.687259674072266, -10.682390213012695, -10.737034797668457, -11.218963623046875, -10.122865676879883, -10.261014938354492, -10.586448669433594, -10.148005485534668, -10.847518920898438, -10.913777351379395, -10.108158111572266, -10.080013275146484, -10.361847877502441, -11.173775672912598, -9.989526748657227, -11.148104667663574, -10.471943855285645, -10.930044174194336, -9.988216400146484, -9.325532913208008, -10.822699546813965, -10.501208305358887, -10.476798057556152, -10.393608093261719, -10.315997123718262, -10.0900297164917, -10.943923950195312, -10.382460594177246]",7241732096,mistralai_Mistral-7B-v0.1
Crayons are,toys.,crayons,none,toy,27,"[-11.553741455078125, -11.872316360473633, -10.639394760131836, -10.536016464233398, -9.211589813232422, -12.967734336853027, -11.293355941772461, -11.449051856994629, -10.800289154052734, -10.154129028320312, -11.01364517211914, -12.261677742004395, -12.331832885742188, -12.467135429382324, -10.784723281860352, -10.952591896057129, -12.153111457824707, -12.938713073730469, -13.675636291503906, -11.198492050170898, -13.492531776428223, -11.998146057128906, -12.092765808105469, -10.762497901916504, -13.206257820129395, -11.01679515838623, -11.036664962768555, -12.9857177734375, -10.529255867004395, -13.338491439819336, -12.43138313293457, -11.775179862976074, -13.572555541992188, -12.402780532836914, -11.990652084350586, -11.917790412902832, -10.414807319641113, -12.49343490600586, -11.124101638793945, -11.704894065856934, -12.433484077453613, -11.227489471435547, -12.982852935791016, -12.18710708618164, -12.310941696166992, -11.09741497039795, -11.868639945983887, -11.786515235900879, -11.784184455871582, -10.875746726989746]",7241732096,mistralai_Mistral-7B-v0.1
