Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Office Building, the Doctor is ",Doctor,1,Office Building,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Pharmacy, the Doctor is ",Doctor,1,Pharmacy,3,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Courthouse, the Doctor is ",Doctor,1,Courthouse,2,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Police Station, the Doctor is ",Doctor,1,Police Station,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the University, the Doctor is ",Doctor,1,University,3,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Laboratory, the Doctor is ",Doctor,1,Laboratory,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Clinic, the Doctor is ",Doctor,1,Clinic,2,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Studio, the Doctor is ",Doctor,1,Studio,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Factory, the Doctor is ",Doctor,1,Factory,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Agency, the Doctor is ",Doctor,1,Agency,1,absent,present
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Teacher is ",Teacher,0,Hospital,0,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Teacher is ",Teacher,0,Park,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Teacher is ",Teacher,0,Farm,0,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Teacher is ",Teacher,0,Church,2,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Teacher is ",Teacher,0,School,3,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Teacher is ",Teacher,0,Bank,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Teacher is ",Teacher,0,Hotel,1,absent,absent
